epoch,train_loss,token_f1_micro,token_f1_macro,cls_f1_micro,cls_f1_macro,cls_precision,cls_recall,learning_rate,log_sigma_token,log_sigma_cls
12,0.15293644019897948,0.8912280701754386,0.6234368038108166,0.782078853046595,0.23682525894937845,0.782078853046595,0.782078853046595,1.3333333333333333e-05,-0.005863569211214781,-0.01065954752266407
13,0.14144867135489242,0.8902923976608187,0.6444214674236024,0.7752688172043011,0.23014743326829581,0.7752688172043011,0.7752688172043011,1.2592592592592593e-05,-0.0066137961111962795,-0.01136010605841875
14,0.13056180277403365,0.8907602339181286,0.63290874941932,0.7770609318996415,0.2358659456124784,0.7770609318996415,0.7770609318996415,1.1851851851851852e-05,-0.007310198619961739,-0.012014571577310562
15,0.12315195481827919,0.8894736842105263,0.6253930251945219,0.7784946236559139,0.23293628185769596,0.7784946236559139,0.7784946236559139,1.1111111111111113e-05,-0.007957878522574902,-0.012625585310161114
16,0.11636313922861789,0.8886549707602339,0.6367068445993319,0.774910394265233,0.2288682635483906,0.774910394265233,0.774910394265233,1.037037037037037e-05,-0.00855865329504013,-0.013195889070630074
17,0.11000583178185402,0.8938011695906433,0.6384885186585098,0.7799283154121864,0.2339437707845893,0.7799283154121864,0.7799283154121864,9.62962962962963e-06,-0.009112422354519367,-0.013724597170948982
18,0.10476690356401687,0.8907602339181286,0.6524395010766536,0.774910394265233,0.2260853629225843,0.774910394265233,0.774910394265233,8.888888888888888e-06,-0.009625948965549469,-0.01421597134321928
19,0.09807500417562241,0.8923976608187134,0.6362392173015409,0.7759856630824373,0.23514007918681126,0.7759856630824373,0.7759856630824373,8.148148148148148e-06,-0.010102028027176857,-0.014674718491733074
20,0.09424559645196225,0.8929824561403509,0.639206922460936,0.7727598566308244,0.23225453386615103,0.7727598566308244,0.7727598566308244,7.4074074074074075e-06,-0.010528787039220333,-0.015088243409991264
21,0.08997002656155444,0.8928654970760234,0.6596669918081276,0.7681003584229391,0.22743653397229216,0.7681003584229391,0.7681003584229391,6.666666666666667e-06,-0.010907693766057491,-0.015456278808414936
22,0.08735467128931208,0.8930994152046784,0.649526861456476,0.7688172043010753,0.23827681530616726,0.7688172043010753,0.7688172043010753,5.925925925925926e-06,-0.011245346628129482,-0.01578584313392639
23,0.08392871615100414,0.8943859649122807,0.6635386381197185,0.7727598566308244,0.24554310215934017,0.7727598566308244,0.7727598566308244,5.185185185185185e-06,-0.011538976803421974,-0.01607314683496952
24,0.08167009879934027,0.8932163742690058,0.6482717012036299,0.7684587813620072,0.2342509108196426,0.7684587813620072,0.7684587813620072,4.444444444444444e-06,-0.011795373633503914,-0.016325173899531364
25,0.07845887906373815,0.8945029239766081,0.6509461004717807,0.77168458781362,0.24381999474885882,0.77168458781362,0.77168458781362,3.7037037037037037e-06,-0.012010361067950726,-0.01653689332306385
26,0.07646660118343983,0.8941520467836257,0.6494907023623739,0.7698924731182796,0.23879156494585105,0.7698924731182796,0.7698924731182796,2.962962962962963e-06,-0.012182961218059063,-0.016707809641957283
27,0.0756233886993946,0.8942690058479532,0.6512728853207673,0.7709677419354839,0.2442519168264594,0.7709677419354839,0.7709677419354839,2.222222222222222e-06,-0.01231654454022646,-0.01683994010090828
28,0.07513632443039975,0.8936842105263157,0.6513428165116607,0.7731182795698924,0.2387101153154617,0.7731182795698924,0.7731182795698924,1.4814814814814815e-06,-0.012413199990987778,-0.016935650259256363
29,0.07330131292977232,0.8938011695906433,0.6513095236356651,0.774910394265233,0.2450776481994976,0.774910394265233,0.774910394265233,7.407407407407407e-07,-0.012469949200749397,-0.01699194870889187
30,0.07283383274966097,0.8943859649122807,0.6513782099315466,0.7741935483870968,0.24246870141749574,0.7741935483870968,0.7741935483870968,0.0,-0.01248976495116949,-0.01701168529689312
